Experiment,N,Accuracy,Macro_F1,Macro_Prec,Macro_Rec,Kappa,Fold_Acc_Mean,Fold_Acc_Std,Fold_Acc_Min,Fold_Acc_Max,excitement_precision,excitement_recall,excitement_f1,frustration_precision,frustration_recall,frustration_f1,neutral_precision,neutral_recall,neutral_f1
RF_EDA-only,88,0.45454545454545453,0.2911669890393294,0.2790469172193564,0.3055555555555555,-0.028989037758830438,0.45018552875695733,0.09058549088907127,0.2727272727272727,0.5833333333333334,0.576271186440678,0.6666666666666666,0.6181818181818182,0.2608695652173913,0.25,0.2553191489361702,0.0,0.0,0.0
RF_Combined,88,0.4431818181818182,0.24516400336417157,0.22895927601809954,0.2696078431372549,-0.093583565812833,0.4462275819418677,0.07151396267087966,0.2857142857142857,0.5,0.5692307692307692,0.7254901960784313,0.6379310344827587,0.11764705882352941,0.08333333333333333,0.0975609756097561,0.0,0.0,0.0
RF_PPG-only,39,0.5641025641025641,0.5156307806141324,0.4698412698412698,0.6036363636363636,0.1040540540540541,0.6238095238095237,0.1649572197684645,0.5,1.0,0.6428571428571429,0.72,0.6792452830188679,0.16666666666666666,0.09090909090909091,0.11764705882352941,0.6,1.0,0.75
SVM_EDA-only,88,0.25,0.2122126699591488,0.24769392033542978,0.251131221719457,-0.1048126307780104,0.24440321583178726,0.11563978465835366,0.08333333333333333,0.4,0.45,0.17647058823529413,0.2535211267605634,0.22641509433962265,0.5,0.3116883116883117,0.06666666666666667,0.07692307692307693,0.07142857142857142
SVM_Combined,88,0.3068181818181818,0.27483833039388594,0.2991582491582491,0.2852564102564103,-0.0600315955766193,0.3152133580705009,0.11661652837991682,0.16666666666666666,0.5,0.5666666666666667,0.3333333333333333,0.41975308641975306,0.19444444444444445,0.2916666666666667,0.23333333333333334,0.13636363636363635,0.23076923076923078,0.17142857142857143
SVM_PPG-only,39,0.41025641025641024,0.21898227558604919,0.20887445887445888,0.23030303030303031,-0.28142857142857136,0.3190476190476191,0.20995626366712955,0.0,0.5,0.5357142857142857,0.6,0.5660377358490566,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0
RF_IntermediateFusion,88,0.4659090909090909,0.40029606408916757,0.3958333333333333,0.4076168929110106,0.08333333333333348,0.4662337662337663,0.11412367168907972,0.25,0.6,0.625,0.5882352941176471,0.6060606060606061,0.25,0.25,0.25,0.3125,0.38461538461538464,0.3448275862068966
SVM_IntermediateFusion,88,0.3068181818181818,0.2519140989729225,0.26197876197876196,0.2558446455505279,-0.11346193735739485,0.3080086580086581,0.13897505405601648,0.08333333333333333,0.5,0.5384615384615384,0.4117647058823529,0.4666666666666667,0.1111111111111111,0.125,0.11764705882352941,0.13636363636363635,0.23076923076923078,0.17142857142857143
RF_IntermediateFusion_Complete,39,0.46153846153846156,0.2938196555217832,0.2905525846702317,0.3078787878787879,-0.044642857142857206,0.38095238095238093,0.1798210246523734,0.0,0.6,0.6363636363636364,0.56,0.5957446808510638,0.23529411764705882,0.36363636363636365,0.2857142857142857,0.0,0.0,0.0
SVM_IntermediateFusion_Complete,39,0.48717948717948717,0.27336860670194,0.2620689655172414,0.2872727272727273,-0.13702623906705536,0.4523809523809524,0.29646442697663583,0.0,1.0,0.5862068965517241,0.68,0.6296296296296297,0.2,0.18181818181818182,0.19047619047619047,0.0,0.0,0.0
